return_id,order_id,customer_id,product_id,product_name,category,return_date,reason,refund_amount
RET-8075,ORD-6324,CUST-1083,PRD-301,NovaSound ANC 700 (Noise-Canceling),Headphones,2026-08-30,Defective Audio Hardware / Bluetooth Disconnects,299.0
RET-8076,ORD-6336,CUST-1002,PRD-604,NovaMouse Wireless Ergonomic Pro,Accessories,2026-09-04,Defective Audio Hardware / Bluetooth Disconnects,79.0
RET-8077,ORD-6359,CUST-1094,PRD-607,NovaCase Magnetic Smart Folio,Accessories,2026-09-03,Defective Audio Hardware / Bluetooth Disconnects,39.0
RET-8078,ORD-6371,CUST-1058,PRD-101,NovaBook Pro 16 (M3 Max/32GB),Laptops,2026-09-13,Wrong Color / Model Sent,1799.0
RET-8079,ORD-6379,CUST-1079,PRD-202,NovaPhone 15 (128GB Midnight),Smartphones,2026-09-15,Defective Audio Hardware / Bluetooth Disconnects,1598.0
RET-8080,ORD-6399,CUST-1081,PRD-604,NovaMouse Wireless Ergonomic Pro,Accessories,2026-09-04,Customer Changed Mind / Remorse,79.0
RET-8081,ORD-6409,CUST-1026,PRD-401,NovaWatch Ultra Pro (Titanium Cellular),Smartwatches,2026-09-13,Arrived Damaged in Transit,998.0
RET-8082,ORD-6437,CUST-1066,PRD-604,NovaMouse Wireless Ergonomic Pro,Accessories,2026-09-12,Defective Audio Hardware / Bluetooth Disconnects,79.0
RET-8083,ORD-6444,CUST-1088,PRD-402,NovaWatch Active 4 (Fitness/OLED),Smartwatches,2026-09-11,Arrived Damaged in Transit,249.0
RET-8084,ORD-6460,CUST-1048,PRD-302,NovaSound Sport Pods (Waterproof),Headphones,2026-09-12,Defective Audio Hardware / Bluetooth Disconnects,149.0
RET-8085,ORD-6476,CUST-1058,PRD-304,NovaSound Wireless Lite (BT 5.3),Headphones,2026-09-18,Defective Audio Hardware / Bluetooth Disconnects,69.0
RET-8086,ORD-6493,CUST-1049,PRD-302,NovaSound Sport Pods (Waterproof),Headphones,2026-09-22,Defective Audio Hardware / Bluetooth Disconnects,149.0
RET-8087,ORD-6503,CUST-1003,PRD-301,NovaSound ANC 700 (Noise-Canceling),Headphones,2026-09-14,Defective Audio Hardware / Bluetooth Disconnects,299.0
RET-8088,ORD-6504,CUST-1089,PRD-201,NovaPhone 15 Pro (256GB Titanium),Smartphones,2026-09-14,Arrived Damaged in Transit,1199.0
RET-8089,ORD-6516,CUST-1015,PRD-402,NovaWatch Active 4 (Fitness/OLED),Smartwatches,2026-09-23,Defective Audio Hardware / Bluetooth Disconnects,249.0
RET-8090,ORD-6541,CUST-1091,PRD-302,NovaSound Sport Pods (Waterproof),Headphones,2026-09-16,Arrived Damaged in Transit,149.0
RET-8091,ORD-6628,CUST-1095,PRD-604,NovaMouse Wireless Ergonomic Pro,Accessories,2026-09-26,Wrong Color / Model Sent,79.0
RET-8092,ORD-6639,CUST-1083,PRD-601,NovaCharge 100W GaN 4-Port Fast Charger,Accessories,2026-09-21,Defective Audio Hardware / Bluetooth Disconnects,69.0
RET-8093,ORD-6663,CUST-1022,PRD-402,NovaWatch Active 4 (Fitness/OLED),Smartwatches,2026-09-22,Wrong Color / Model Sent,498.0
RET-8094,ORD-6664,CUST-1019,PRD-402,NovaWatch Active 4 (Fitness/OLED),Smartwatches,2026-10-01,Late Delivery Exceeded Window,249.0
RET-8095,ORD-6667,CUST-1022,PRD-601,NovaCharge 100W GaN 4-Port Fast Charger,Accessories,2026-10-01,Late Delivery Exceeded Window,69.0
RET-8096,ORD-6676,CUST-1043,PRD-604,NovaMouse Wireless Ergonomic Pro,Accessories,2026-09-24,Arrived Damaged in Transit,237.0
